Company Name,Sector,Calendar Year,total_health,rel_quality,z_quality,price_metric,rel_price,z_price,price_hat,price_resid,price_resid_std,QARP_spread,QARP_resid,QARP_resid,rank_qarf
Philip Morris International Inc.,Consumer Defensive,2023,1.464,1.4186046511627906,0.7374902847685019,0.912,0.912,-0.08461642591274827,1.0683130191598942,-0.15819607560461316,-0.23359494909840053,0.8221067106812502,0.9710852338669024,0.9710852338669024,120
International Business Machines Corporation,Technology,2023,1.041,0.9463636363636362,-0.08213838304306946,0.519,0.519,-0.42683467519436774,1.058617332304798,-0.7128150489794324,-1.0525545241658876,0.34469629215129827,0.9704161411228182,0.9704161411228182,121
Ferguson plc,Industrials,2023,1.39,1.318785578747628,0.5644667119935087,0.81,0.81,-0.2772651947556102,1.0662562371638458,-0.274874700748411,-0.40588454223254283,0.8417319067491189,0.9703512542260515,0.9703512542260515,122
"United Rentals, Inc.",Industrials,2023,1.309,1.2419354838709675,0.4283899153522163,0.739,0.739,-0.3808748201642857,1.0646754315534102,-0.3651273516420513,-0.5391531034842659,0.809264735516502,0.9675430188364822,0.9675430188364822,123
"Molina Healthcare, Inc.",Healthcare,2023,1.24,1.1545623836126628,0.2469637264223721,0.659,0.659,-0.08265484970650891,1.062881014653375,-0.47801490404043107,-0.7058447357232996,0.329618576128881,0.9528084621456717,0.9528084621456717,124
The Coca-Cola Company,Consumer Defensive,2023,1.653,1.6017441860465116,1.060142284354722,1.199,1.199,0.1913485085981468,1.0720969504016453,0.11187137867860444,0.16519113327002433,0.8687937757565751,0.8949511510846976,0.8949511510846976,125
Eastman Chemical Company,Basic Materials,2023,0.924,0.8867562380038387,-0.18804340427559108,0.51,0.51,-0.5574908461759903,1.05739979041193,-0.7291574198721873,-1.0766859400828128,0.36944744190039924,0.8886425358072217,0.8886425358072217,126
Omnicom Group Inc.,Communication Services,2023,1.411,1.4238143289606457,0.7164637698947333,0.956,0.956,-0.02031871801628446,1.0684204739643548,-0.11117873120217307,-0.16416835851798486,0.7367824879110177,0.8806321284127181,0.8806321284127181,127
"Expeditors International of Washington, Inc.",Industrials,2023,1.481,1.405123339658444,0.7173431131584176,0.966,0.966,-0.049615876956267145,1.0680350038189583,-0.10041195988191426,-0.1482699654074251,0.7669589901146847,0.8656130785658427,0.8656130785658427,128
"CBRE Group, Inc.",Real Estate,2023,1.324,1.3076543209876546,0.4969008894594633,0.835,0.835,-0.11541494474721184,1.066027122032485,-0.2442623223584809,-0.36068179656109345,0.6123158342066751,0.8575826860205568,0.8575826860205568,129
"PepsiCo, Inc.",Consumer Defensive,2023,1.628,1.5775193798449612,1.0174634484306186,1.198,1.198,0.19038695830368363,1.0715956622597433,0.111504688923041,0.16464967309499548,0.827076490126935,0.8528137753356232,0.8528137753356232,130
"Fortinet, Inc.",Technology,2023,2.277,2.07,1.638591132910041,1.845,1.845,0.7498446996657812,1.0818328566563489,0.533822585288924,0.788251283488264,0.88874643324426,0.8503398494217771,0.8503398494217771,131
"Diamondback Energy, Inc.",Energy,2023,1.363,1.3402163225172077,0.5003743433145265,0.842,0.842,-0.22883568912776747,1.066697485709713,-0.23654267831284698,-0.349282842124293,0.7292100324422939,0.8496571854388195,0.8496571854388195,132
Berkshire Hathaway Inc.,Financial Services,2023,1.223,1.0,0.0,0.601,0.601,-0.47829719978038715,1.0597141079962196,-0.567159506755245,-0.837477134655937,0.47829719978038715,0.837477134655937,0.837477134655937,133
"HCA Healthcare, Inc.",Healthcare,2023,1.042,0.9702048417132215,-0.04760746533443334,0.583,0.583,-0.10107645843875138,1.0591047056498004,-0.5969920265539388,-0.8815283281967311,0.05346899310431804,0.8339208628622977,0.8339208628622977,134
Tractor Supply Company,Consumer Cyclical,2023,1.565,1.357328707718994,0.9779995475936496,1.178,1.178,0.28098801058274847,1.067049952475132,0.09892029819011071,0.14606735301241366,0.6970115370109011,0.8319321945812359,0.8319321945812359,135
CVS Health Corporation,Healthcare,2023,0.564,0.5251396648044692,-0.7587439787675294,0.365,0.365,-0.15391738874965738,1.050043361418816,-1.0566893853057455,-1.560325072729666,-0.604826590017872,0.8015810939621366,0.8015810939621366,136
M&T Bank Corporation,Financial Services,2023,1.165,0.9525756336876533,-0.0675015268692012,0.588,0.588,-0.49388081781834464,1.0587442993214473,-0.58811191370504,-0.8684158062773436,0.42637929094914345,0.8009142794081424,0.8009142794081424,137
UnitedHealth Group Incorporated,Healthcare,2023,1.25,1.163873370577281,0.26184105933938234,0.738,0.738,-0.06350607220852005,1.0630720941177847,-0.3649743728130975,-0.5389272124081061,0.3253471315479024,0.8007682717474884,0.8007682717474884,138
Honeywell International Inc.,Industrials,2023,1.443,1.3690702087286528,0.6535046159686757,0.966,0.966,-0.049615876956267145,1.0672918615759983,-0.09971591443331654,-0.1472421731533256,0.7031204929249428,0.8007467891220013,0.8007467891220013,139
"The Interpublic Group of Companies, Inc.",Communication Services,2023,1.285,1.296670030272452,0.5015246389263134,0.872,0.872,-0.05910899786555474,1.065801080190932,-0.20069255945565814,-0.2963459620050467,0.5606336367918682,0.7978706009313601,0.7978706009313601,140
DTE Energy Company,Utilities,2023,1.141,1.142142142142142,0.5225201006277802,0.885,0.885,-0.39402008188944593,1.0626261807342507,-0.1829110070775476,-0.2700894268363946,0.9165401825172261,0.7926095274641748,0.7926095274641748,141
Microchip Technology Incorporated,Technology,2023,1.61,1.4636363636363636,0.7100097517282252,1.012,1.012,0.01064868212543122,1.0692422003179878,-0.05502160269756848,-0.08124581113866851,0.699361069602794,0.7912555628668937,0.7912555628668937,142
"T. Rowe Price Group, Inc.",Financial Services,2023,1.769,1.4464431725265738,0.6354454081135144,0.962,0.962,-0.04555211426479881,1.068887341895713,-0.1053590683658661,-0.15557494784821135,0.6809975223783131,0.7910203559617257,0.7910203559617257,143
"AutoZone, Inc.",Consumer Cyclical,2023,1.389,1.204683434518647,0.5602133330876246,0.917,0.917,-0.13102249931667484,1.0639100008954576,-0.14859860844298914,-0.21942316990271132,0.6912358324042994,0.7796365029903358,0.7796365029903358,144
EQT Corporation,Energy,2023,0.999,0.9823008849557523,-0.02603103520133361,0.614,0.614,-0.5590542785020142,1.0593520645557797,-0.5454178122104633,-0.8053729878805466,0.5330232433006805,0.7793419526792129,0.7793419526792129,145
Paramount Global,Communication Services,2023,0.189,0.19071644803229063,-1.3681046272751813,0.244,0.244,-0.3491125186434327,1.0432856906586512,-1.4529621046248131,-2.1454679427069223,-1.0189921086317486,0.777363315431741,0.777363315431741,146
Cincinnati Financial Corporation,Financial Services,2023,1.266,1.035159443990188,0.05004423543751129,0.649,0.649,-0.4207576870248518,1.0604336774733358,-0.4910005164231174,-0.7250195063486256,0.4708019224623631,0.7750637417861368,0.7750637417861368,147
Arch Capital Group Ltd.,Financial Services,2023,0.994,0.812755519215045,-0.26651464919046675,0.522,0.522,-0.5729976478572056,1.0558901984434572,-0.7044718922306773,-1.040234880529996,0.3064829986667389,0.7737202313395292,0.7737202313395292,148
AbbVie Inc.,Healthcare,2023,2.292,2.1340782122905027,1.8120591492918636,2.222,2.222,0.29620007724737213,1.0831720208454103,0.7185138984661845,1.0609695398398826,1.5158590720444916,0.751089609451981,0.751089609451981,149
"Skyworks Solutions, Inc.",Technology,2023,1.152,1.0472727272727271,0.07239315115660314,0.672,0.672,-0.29106397809511975,1.0606816998020598,-0.45640875289521543,-0.6739407345798489,0.3634571292517229,0.7463338857364521,0.7463338857364521,150
"Domino's Pizza, Inc.",Consumer Cyclical,2023,1.665,1.4440589765828273,1.2153780785629817,1.483,1.483,0.7624562309633011,1.0688381426441784,0.3274948526381204,0.483584331277552,0.4529218475996807,0.7317937472854297,0.7317937472854297,151
TE Connectivity Ltd.,Technology,2023,0.893,0.8118181818181818,-0.28818042864263266,0.536,0.536,-0.41174904218334013,1.0558710908767028,-0.6779872227104602,-1.0011271782382796,0.12356861354070747,0.712946749595647,0.712946749595647,152
Quest Diagnostics Incorporated,Healthcare,2023,0.968,0.9013035381750465,-0.1576997289203101,0.602,0.602,-0.09647105625569076,1.0576968046167075,-0.5635915519529358,-0.832208633416286,-0.06122867266461933,0.674508904495976,0.674508904495976,153
JPMorgan Chase & Co.,Financial Services,2023,1.344,1.0989370400654128,0.14082215088229888,0.741,0.741,-0.31047362091007585,1.0617401902758627,-0.35966390465128056,-0.5310856870402535,0.45129577179237473,0.6719078379225524,0.6719078379225524,154
QUALCOMM Incorporated,Technology,2023,1.473,1.339090909090909,0.5192816419502511,0.966,0.966,-0.030171266022055127,1.0666743094548694,-0.09913713099546104,-0.146387531929211,0.5494529079723062,0.665669173879462,0.665669173879462,155
Booking Holdings Inc.,Consumer Cyclical,2023,1.62,1.4050303555941024,1.1085577396267825,1.445,1.445,0.7024700264568715,1.0680330865270729,0.30229060161199656,0.44636731617140096,0.406087713169911,0.6621904234553815,0.6621904234553815,156
"EPAM Systems, Inc.",Technology,2023,0.935,0.85,-0.2297090373238376,0.579,0.579,-0.3735912645672117,1.0566497048527752,-0.601556048311581,-0.8882676384235224,0.1438822272433741,0.6585586010996848,0.6585586010996848,157
Texas Instruments Incorporated,Technology,2023,2.088,1.8981818181818182,1.3754698719754637,1.762,1.762,0.6761913149648819,1.0782502115449486,0.49110997477533413,0.7251811343669993,0.6992785570105817,0.6502887376084644,0.6502887376084644,158
"Juniper Networks, Inc.",Technology,2023,0.537,0.48818181818181816,-0.7837950788686094,0.399,0.399,-0.5333214964486799,1.0492944101227426,-0.9669118100156898,-1.4277580159938614,-0.25047358241992956,0.643962937125252,0.643962937125252,159
General Motors Company,Consumer Cyclical,2023,0.557,0.4830875975715525,-1.414776044577221,0.261,0.261,-1.1665738192171415,1.049191217568117,-1.391254470036552,-2.0543494259830646,-0.24820222536007952,0.6395733814058435,0.6395733814058435,160
Albemarle Corporation,Basic Materials,2023,0.409,0.39251439539347405,-1.0087413127665181,0.344,0.344,-0.7463550920233667,1.047358188595361,-1.1133846044422,-1.6440421736608128,-0.26238622074315143,0.6353008608942947,0.6353008608942947,161
"Caesars Entertainment, Inc.",Consumer Cyclical,2023,0.951,0.8248048568950563,-0.4795046325580516,0.501,0.501,-0.7877135802291659,1.0561358542654466,-0.7457660047792389,-1.1012104520287087,0.30820894767111434,0.6217058194706571,0.6217058194706571,162
Halliburton Company,Energy,2023,1.291,1.2694198623402164,0.3962502025091914,0.917,0.917,-0.12021115314939676,1.0652405155289437,-0.1498484165673217,-0.22126865730858045,0.5164613556585882,0.6175188598177719,0.6175188598177719,163
MGM Resorts International,Consumer Cyclical,2023,1.071,0.9288811795316565,-0.1946503953948527,0.611,0.611,-0.6140693040263439,1.0582600900778552,-0.5492844548665771,-0.8110825365592008,0.4194189086314911,0.6164321411643481,0.6164321411643481,164
Regions Financial Corporation,Financial Services,2023,1.011,0.8266557645134913,-0.24672971890121825,0.589,0.589,-0.492682077969271,1.0561735947004234,-0.5839816560250977,-0.8623169992821511,0.24595235906805274,0.6155872803809328,0.6155872803809328,165
Iron Mountain Incorporated,Real Estate,2023,2.563,2.5313580246913583,2.4733381351746306,3.843,3.843,1.9886344722201406,1.0915118107537778,1.2586895939702845,1.8586019312453854,0.4847036629544901,0.6147362039292452,0.6147362039292452,166
Pentair plc,Industrials,2023,1.165,1.105313092979127,0.18647561021214124,0.796,0.796,-0.2976952617376025,1.0618708950684557,-0.28818844083539435,-0.4255438316684024,0.48417087194974373,0.6120194418805436,0.6120194418805436,167
Western Digital Corporation,Technology,2023,0.107,0.09727272727272726,-1.382430751894368,0.271,0.271,-0.6469074391199461,1.0414052644142497,-1.3462074749681139,-1.9878322859097062,-0.7355233127744218,0.6054015340153382,0.6054015340153382,168
Seagate Technology Holdings plc,Technology,2023,0.562,0.5109090909090909,-0.7489906792740886,0.421,0.421,-0.5137989125520559,1.0497549153637915,-0.9136791682846683,-1.3491538142903348,-0.23519176672203268,0.6001631350162462,0.6001631350162462,169
"Corpay, Inc.",Technology,2023,1.544,1.4036363636363636,0.6181261367986901,1.088,1.088,0.07809033558649563,1.06800434341797,0.018549341033259198,0.027390264631486843,0.5400358012121945,0.5907358721672032,0.5907358721672032,170
Campbell Soup Company,Consumer Defensive,2023,1.054,1.0213178294573644,0.037557375613210826,0.729,0.729,-0.26058012979948625,1.060150338152773,-0.37449227348676395,-0.552981502407977,0.29813750541269707,0.5905388780211879,0.5905388780211879,171
NXP Semiconductors N.V.,Technology,2023,1.41,1.2818181818181817,0.4315745549720583,0.958,0.958,-0.037270387439009275,1.0654955254574205,-0.10634747408214754,-0.15703444412269793,0.4688449424110676,0.5886089990947563,0.5886089990947563,172
The Southern Company,Utilities,2023,1.173,1.1741741741741742,0.6402711092199568,1.114,1.114,0.390593820307799,1.0632835265575828,0.046595354701465044,0.06880347358878,0.2496772889121578,0.5714676356311768,0.5714676356311768,173
The Procter & Gamble Company,Consumer Defensive,2023,1.464,1.4186046511627906,0.7374902847685019,1.204,1.204,0.19615626007046194,1.0683130191598942,0.11956856018982173,0.17655691915593866,0.5413340246980399,0.5609333656125632,0.5609333656125632,174
"The PNC Financial Services Group, Inc.",Financial Services,2023,1.284,1.0498773507767785,0.07099298515553924,0.764,0.764,-0.2829026043813818,1.0607350376590734,-0.3281495893807238,-0.48455112641122877,0.3538955895369211,0.555544111566768,0.555544111566768,175
Huntington Bancshares Incorporated,Financial Services,2023,1.1,0.8994276369582993,-0.14314978973985762,0.663,0.663,-0.40397532913782064,1.0576584994016098,-0.46703779073433765,-0.689635748147697,0.26082553939796305,0.5464859584078394,0.5464859584078394,176
Archer-Daniels-Midland Company,Consumer Defensive,2023,0.621,0.6017441860465116,-0.7016400625922556,0.458,0.458,-0.5211602595989725,1.0515974559590457,-0.8311964895288827,-1.2273585227711334,-0.18047980299328314,0.5257184601788778,0.5257184601788778,177
"The Hartford Financial Services Group, Inc.",Financial Services,2023,1.219,0.9967293540474244,-0.0046552777151173405,0.74,0.74,-0.3116723607591495,1.0596471961286895,-0.3590411116655622,-0.5301660605878165,0.30701708304403214,0.5255107828726991,0.5255107828726991,178
"WEC Energy Group, Inc.",Utilities,2023,1.122,1.1231231231231231,0.45260543927617614,1.017,1.017,0.05824644688800473,1.062236073947058,-0.043519072902371725,-0.06426098486062987,0.3943589923881714,0.516866424136806,0.516866424136806,179
"Agilent Technologies, Inc.",Healthcare,2023,1.478,1.3761638733705772,0.6010442498472192,1.141,1.141,0.034176931990081406,1.0674380382923878,0.06664365019810337,0.0984071192427456,0.5668673178571377,0.5026371306044736,0.5026371306044736,180
Incyte Corporation,Healthcare,2023,1.108,1.0316573556797022,0.05058293191783549,0.793,0.793,-0.05017464483650247,1.0603619821982173,-0.2905423998157522,-0.4290197265418677,0.10075757675433797,0.4796026584597032,0.4796026584597032,181
General Electric Company,Industrials,2023,0.885,0.8396584440227703,-0.28391331644911627,0.641,0.641,-0.523885289038232,1.05643876036486,-0.4996294138220715,-0.7377610793679327,0.23997197258911568,0.4538477629188164,0.4538477629188164,182
Royal Caribbean Cruises Ltd.,Consumer Cyclical,2023,1.287,1.1162185602775367,0.3180872314989051,0.971,0.971,-0.045778945544380424,1.0620944871035398,-0.08967170046017087,-0.13241072020594297,0.36386617704328555,0.4504979517048481,0.4504979517048481,183
"The TJX Companies, Inc.",Consumer Cyclical,2023,1.463,1.268863833477884,0.7358734460049308,1.294,1.294,0.4641037927602702,1.0652290804993512,0.1945483209873829,0.2872732775736553,0.27176965324466057,0.4486001684312755,0.4486001684312755,184
"Keysight Technologies, Inc.",Technology,2023,1.29,1.1727272727272726,0.26451343691835827,0.947,0.947,-0.047031679387321224,1.0632538251806862,-0.11579003857174705,-0.17097749146363994,0.3115451163056795,0.4354909283819982,0.4354909283819982,185
Hubbell Incorporated,Industrials,2023,1.282,1.2163187855787476,0.3830309831384525,1.037,1.037,0.0539937484524082,1.0641490173358523,-0.02584350575251161,-0.03816094923789708,0.3290372346860443,0.4211919323763496,0.4211919323763496,186
"General Mills, Inc.",Consumer Defensive,2023,0.985,0.9544573643410852,-0.08023621153731404,0.754,0.754,-0.23654137243791004,1.0587827630202844,-0.33948282248097067,-0.5012859663815274,0.15630516090059599,0.4210497548442134,0.4210497548442134,187
Monster Beverage Corporation,Consumer Defensive,2023,1.644,1.5930232558139534,1.0447779034220446,1.637,1.637,0.6125075375729622,1.0719164596618214,0.42341716819698527,0.6252248134117393,0.4322703658490824,0.4195530900103053,0.4195530900103053,188
Xcel Energy Inc.,Utilities,2023,1.067,1.068068068068068,0.2502208932583739,0.96,0.96,-0.13705046326589437,1.061107624586929,-0.100135285941681,-0.1478614240783268,0.38727135652426825,0.3980823173367007,0.3980823173367007,189
"Paycom Software, Inc.",Technology,2023,1.408,1.2799999999999998,0.4287902030044965,1.096,1.096,0.08518945700344976,1.065458125084662,0.028262317459872593,0.04173260672371101,0.34360074600104673,0.3870575962807855,0.3870575962807855,190
"Broadridge Financial Solutions, Inc.",Technology,2023,0.97,0.8818181818181817,-0.18098287789150852,0.72,0.72,-0.24846924959339498,1.0572989884098787,-0.38422159896057023,-0.5673479857744537,0.06748637170188646,0.38636510788294515,0.38636510788294515,191
Alliant Energy Corporation,Utilities,2023,1.077,1.078078078078078,0.28701808344342883,0.993,0.993,-0.023983831071531517,1.0613127079943276,-0.06653116063973007,-0.09824101529508518,0.31100191451496034,0.385259098738514,0.385259098738514,192
ConocoPhillips,Energy,2023,1.165,1.145526057030482,0.21403295609985531,0.947,0.947,-0.07676133875804864,1.0626956045917832,-0.11526488910778104,-0.17020204705495062,0.290794294857904,0.38423500315480597,0.38423500315480597,193
LyondellBasell Industries N.V.,Basic Materials,2023,0.798,0.7658349328214972,-0.3888355139257983,0.629,0.629,-0.4221002121046784,1.0549341495282907,-0.5171023697529433,-0.7635619359041714,0.033264698178880114,0.37472642197837314,0.37472642197837314,194
Moody's Corporation,Financial Services,2023,2.823,2.3082583810302535,1.8621110860469292,2.986,2.986,2.380697340260273,1.0868205781096578,1.0106781661387343,1.4923841433596083,-0.5185862542133437,0.36972694268732087,0.36972694268732087,195
Chubb Limited,Financial Services,2023,1.14,0.9321340964840554,-0.0965970125886847,0.773,0.773,-0.272113945739719,1.0583265521141407,-0.3141651665995269,-0.46390149578506334,0.17551693315103428,0.36730448319637865,0.36730448319637865,196
"Universal Health Services, Inc.",Healthcare,2023,0.751,0.6992551210428305,-0.48053785321943526,0.595,0.595,-0.09816778337576573,1.053579011801651,-0.5713868242234197,-0.8437192617442796,-0.3823700698436695,0.3631814085248443,0.3631814085248443,197
Humana Inc.,Healthcare,2023,0.788,0.7337057728119181,-0.42549172142649677,0.622,0.622,-0.091623264484048,1.0542799885295082,-0.527673244851207,-0.779171065404173,-0.33386845694244877,0.35367934397767625,0.35367934397767625,198
"West Pharmaceutical Services, Inc.",Healthcare,2023,1.645,1.531657355679702,0.8494957095612924,1.499,1.499,0.12095240470248668,1.0706472732199068,0.33653482529907647,0.49693290484687885,0.7285433048588057,0.35256280471441354,0.35256280471441354,199
"Darden Restaurants, Inc.",Consumer Cyclical,2023,1.215,1.0537727666955767,0.14717468920098603,0.932,0.932,-0.10734373437992634,1.0608148135553475,-0.12945976916146337,-0.19116244238033966,0.25451842358091237,0.3383371315813257,0.3383371315813257,200
"Wynn Resorts, Limited",Consumer Cyclical,2023,1.019,0.883781439722463,-0.3180872314989057,0.68,0.68,-0.5051469853173007,1.057339063823562,-0.44141791565925687,-0.6518050156772618,0.187059753818395,0.33371778417835607,0.33371778417835607,201
American Airlines Group Inc.,Industrials,2023,0.443,0.42030360531309297,-1.0264558363929583,0.418,0.418,-0.8493070702513957,1.0479202484273087,-0.9190813306316644,-1.3571307368128747,-0.1771487661415626,0.3306749004199163,0.3306749004199163,202
Corning Incorporated,Technology,2023,0.449,0.40818181818181815,-0.9063065654413227,0.459,0.459,-0.4800780858215237,1.0476750381430833,-0.8252785286285407,-1.2186199635496213,-0.426228479619799,0.3123133981082986,0.3123133981082986,203
"AvalonBay Communities, Inc.",Real Estate,2023,1.025,1.0123456790123457,0.01993984307622252,0.87,0.87,-0.09093298677053052,1.0599667177217207,-0.19749957658880882,-0.291631150544629,0.11087282984675303,0.31157099362085156,0.31157099362085156,204
"Expedia Group, Inc.",Consumer Cyclical,2023,1.293,1.1214223764093667,0.33232994335706495,1.079,1.079,0.12470816200020857,1.0622011962204663,0.015691331097935454,0.02317007975766432,0.20762178135685638,0.3091598635994006,0.3091598635994006,205
"Martin Marietta Materials, Inc.",Basic Materials,2023,1.339,1.2850287907869482,0.47329568703263164,1.193,1.193,0.21958312920809422,1.0655615715481548,0.11296918569840882,0.16681217332383708,0.2537125578245374,0.30648351370879456,0.30648351370879456,206
American Express Company,Financial Services,2023,1.698,1.3883892068683563,0.5528142286701818,1.27,1.27,0.32365975924988605,1.0676900085356007,0.1735194562445434,0.25622170710690034,0.22915446942029577,0.2965925215632815,0.2965925215632815,207
Cintas Corporation,Industrials,2023,1.66,1.574952561669829,1.0180560341311498,1.749,1.749,1.0930085835365901,1.0715425603788538,0.4899449405215648,0.7234608254644742,-0.07495254940544038,0.29459520866667555,0.29459520866667555,208
Marathon Oil Corporation,Energy,2023,0.928,0.9124877089478861,-0.1287090073843721,0.803,0.803,-0.2853204478365201,1.0579252100771048,-0.27571020606461516,-0.4071182632402494,0.156611440452148,0.2784092558558773,0.2784092558558773,209
Phillips 66,Energy,2023,0.818,0.8043264503441495,-0.2877875558369673,0.722,0.722,-0.40263494669316047,1.0557183848043248,-0.37995160875115375,-0.5610428474086179,0.11484739085619317,0.27325529157165057,0.27325529157165057,210
Amcor plc,Consumer Cyclical,2023,0.912,0.7909800520381614,-0.572082259636091,0.601,0.601,-0.6298551473175095,1.0554463961251097,-0.5631241461723239,-0.8315184542881816,0.05777288768141842,0.25943619465209056,0.25943619465209056,211
"PayPal Holdings, Inc.",Financial Services,2023,1.416,1.1578086672117742,0.2246171497544107,1.04,1.04,0.04794959396294612,1.0629476307725985,-0.021825119492096715,-0.03222733343629272,0.17666755579146456,0.2568444831907034,0.2568444831907034,212
Fox Corporation,Communication Services,2023,0.986,0.9949545913218971,-0.008529330593984844,0.888,0.888,-0.051720373132360394,1.0596108892625369,-0.17668529112015002,-0.2608964313931689,0.04319104253837555,0.25236710079918406,0.25236710079918406,213
Bio-Techne Corporation,Healthcare,2023,1.508,1.404096834264432,0.6456762485982503,1.396,1.396,0.09598627707852646,1.0680138379047637,0.26781030704645037,0.3954531413212775,0.5496899715197239,0.25022310727697283,0.25022310727697283,214
Garmin Ltd.,Technology,2023,1.252,1.1381818181818182,0.21161074953468673,1.036,1.036,0.03194604637629366,1.062544937120143,-0.025299770844922305,-0.03735806125489301,0.17966470315839306,0.24896881078957972,0.24896881078957972,215
"Autodesk, Inc.",Technology,2023,1.79,1.6272727272727272,0.9606014288087752,1.74,1.74,0.6566687310682581,1.0726254707328133,0.48377575922082117,0.7143513100329549,0.3039326977405171,0.24625011877582026,0.24625011877582026,216
"F5, Inc.",Technology,2023,0.88,0.7999999999999999,-0.3062787164317835,0.727,0.727,-0.24225751835356008,1.0556302076086037,-0.37296674321576473,-0.5507288791071767,-0.06402119807822343,0.2444501626753932,0.2444501626753932,217
Ameren Corporation,Utilities,2023,0.999,1.0,0.0,0.899,0.899,-0.3460524197463829,1.0597141079962196,-0.1644714068188322,-0.24286120725277385,0.3460524197463829,0.24286120725277385,0.24286120725277385,218
Teledyne Technologies Incorporated,Technology,2023,0.777,0.7063636363636363,-0.4496728427612094,0.66,0.66,-0.301712660220551,1.0537236125124174,-0.4678456324754476,-0.6908286206615879,-0.1479601825406584,0.2411557779003785,0.2411557779003785,219
AT&T Inc.,Communication Services,2023,0.928,0.9364278506559032,-0.10746956548420994,0.836,0.836,-0.07573340351524203,1.0584142864274995,-0.2358984977612827,-0.348331634437391,-0.031736161968967905,0.24086206895318107,0.24086206895318107,220
GE HealthCare Technologies Inc.,Healthcare,2023,1.074,1.0,0.0,0.902,0.902,-0.023754179681049477,1.0597141079962196,-0.16113992122782883,-0.23794188037264613,0.023754179681049477,0.23794188037264613,0.23794188037264613,221
Zebra Technologies Corporation,Technology,2023,0.683,0.6209090909090909,-0.5805373852366077,0.608,0.608,-0.3478569494307529,1.0519866186104292,-0.5482607912985253,-0.809570977955999,-0.2326804358058548,0.22903359271939128,0.22903359271939128,222
Exelon Corporation,Utilities,2023,0.96,0.960960960960961,-0.14350904172171441,0.83,0.83,-0.5824644688800508,1.0589157111819096,-0.24357504880258388,-0.3596669570292476,0.43895542715833635,0.2161579153075332,0.2161579153075332,223
Sempra,Utilities,2023,0.962,0.9629629629629629,-0.1361496036847036,0.836,0.836,-0.5619068993901666,1.0589566399718238,-0.23641078736479382,-0.34908808976283734,0.42575729570546295,0.21293848607813373,0.21293848607813373,224
Dover Corporation,Industrials,2023,1.039,0.9857685009487664,-0.02519940678542479,0.902,0.902,-0.1430104688739463,1.05942298647248,-0.16086516644548762,-0.23753617290392265,0.11781106208852152,0.21233676611849786,0.21233676611849786,225
"UDR, Inc.",Real Estate,2023,0.939,0.9274074074074073,-0.11724627728818798,0.847,0.847,-0.10702113058377824,1.058229980047761,-0.22265226659012222,-0.3287720297863472,-0.010225146704409743,0.2115257524981592,0.2115257524981592,226
"Huntington Ingalls Industries, Inc.",Industrials,2023,0.69,0.6546489563567361,-0.611505604659635,0.604,0.604,-0.5778790374906404,1.0526720904665086,-0.5555128606374911,-0.8202795038256784,-0.03362656716899459,0.2087738991660434,0.2087738991660434,227
Ralph Lauren Corporation,Consumer Cyclical,2023,1.008,0.8742411101474414,-0.34419886990553206,0.727,0.727,-0.4309535218488223,1.0571443340885753,-0.37440004971326696,-0.552845323254396,0.08675465194329024,0.2086464533488639,0.2086464533488639,228
Equity Residential,Real Estate,2023,0.957,0.9451851851851852,-0.0885329032584275,0.867,0.867,-0.09303144031138892,1.0585932476588102,-0.19965720406529414,-0.2948171390630964,0.004498537052961424,0.20628423580466893,0.20628423580466893,229
Kellanova,Consumer Defensive,2023,1.086,1.052325581395349,0.09218628559606294,0.984,0.984,-0.015384804711408797,1.0607851753253752,-0.07513874728676062,-0.11095112050463907,0.10757109030747174,0.20313740610070202,0.20313740610070202,230
Camden Property Trust,Real Estate,2023,0.894,0.8829629629629631,-0.18902971236258848,0.811,0.811,-0.13220257307407896,1.0573223563104404,-0.26522685811761504,-0.39163837778354027,-0.05682713928850952,0.2026086654209518,0.2026086654209518,231
CMS Energy Corporation,Utilities,2023,1.052,1.053053053053053,0.19502510798079145,1.062,1.062,0.21242821806213627,1.060800073778595,0.0011305128203309422,0.00166933398133294,-0.01740311008134482,0.19335577399945852,0.19335577399945852,232
Extra Space Storage Inc.,Real Estate,2023,1.014,1.0014814814814816,0.002392781169146946,0.933,0.933,-0.04686546241250415,1.0597444179843531,-0.1273778420767469,-0.18808823431593466,0.049258243581651096,0.19048101548508162,0.19048101548508162,233
Freeport-McMoRan Inc.,Basic Materials,2023,1.438,1.3800383877159308,0.6310609160435087,1.443,1.443,0.5040172343999261,1.0675178875354265,0.301388057338012,0.44503460432671893,0.1270436816435826,0.18602631171678974,0.18602631171678974,234
The Kraft Heinz Company,Consumer Defensive,2023,0.784,0.7596899224806202,-0.42337405236710307,0.699,0.699,-0.28942663863337775,1.054809003572296,-0.4114642480188043,-0.607574933223953,-0.13394741373372532,0.18420088085684988,0.18420088085684988,235
Genuine Parts Company,Consumer Cyclical,2023,0.975,0.8456201214223764,-0.4225337851254117,0.707,0.707,-0.46252520843115363,1.056560360037006,-0.4017433016023448,-0.5932208225125306,0.03999142330574196,0.17068703738711893,0.17068703738711893,236
Trane Technologies plc,Industrials,2023,1.355,1.2855787476280833,0.5056680961608515,1.354,1.354,0.5165888365446635,1.0655728852329858,0.2395505995494543,0.35372438851203913,-0.010920740383811967,0.15194370764881238,0.15194370764881238,237
